cs_run,spectral_kind,exp_id,range_key,station,section,metric,label,unit,count,nan_fraction,min,q25,median,mean,q75,max,std,trend_per_min,event,value
cs-eriswil__20260304_110254,Q,0,ALLBB,2,metric_summary,z_ridge_m,ridge altitude,m,3.0,0.0,813.3002319335938,813.3002319335938,813.3002319335938,813.3002319335938,813.3002319335938,813.3002319335938,0.0,2.9045630977098015e-12,,
cs-eriswil__20260304_110254,Q,0,ALLBB,2,metric_summary,z_offset_m,ridge - anchor altitude,m,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
cs-eriswil__20260304_110254,Q,0,ALLBB,2,metric_summary,D_liq_um,liquid mean diameter,um,3.0,0.0,3.6588736595649096,3.6589213825027356,3.6589691054405615,3.659015143412107,3.6590858853357062,3.659202665230851,0.0001382046867835516,0.013282135320451869,,
cs-eriswil__20260304_110254,Q,0,ALLBB,2,metric_summary,D_ice_um,ice mean diameter,um,3.0,0.0,115.2407662792303,115.26640316020882,115.29204004118736,115.28345081794497,115.3047930873023,115.31754613341724,0.03192822752333384,-3.0719415317555017,,
cs-eriswil__20260304_110254,Q,0,ALLBB,2,metric_summary,dD_liq_dt_um_s,liquid growth rate,um s-1,2.0,0.33333333333333337,0.0001908917513083,0.0001985110439831,0.0002061303366579,0.0002061303366579,0.0002137496293327,0.0002213689220075,1.52385853496e-05,0.0018286302419520026,,
cs-eriswil__20260304_110254,Q,0,ALLBB,2,metric_summary,dD_ice_dt_um_s,ice growth rate,um s-1,2.0,0.33333333333333337,-0.0511990255292868,-0.0511523152618833,-0.0511056049944798,-0.0511056049944798,-0.0510588947270763,-0.0510121844596728,9.342053480699761e-05,-0.01121046417683998,,
cs-eriswil__20260304_110254,Q,0,ALLBB,2,event_summary,,,%,,,,,,,,,,,liquid growth > 0,77.77777777777777
cs-eriswil__20260304_110254,Q,0,ALLBB,2,event_summary,,,%,,,,,,,,,,,ice growth > 0,0.0
cs-eriswil__20260304_110254,Q,0,ALLBB,2,event_summary,,,%,,,,,,,,,,,ice growth < 0,77.77777777777777
cs-eriswil__20260304_110254,Q,0,ALLBB,2,event_summary,,,%,,,,,,,,,,,D_ice >= 50 um,100.0
cs-eriswil__20260304_110254,Q,0,ALLBB,2,event_summary,,,%,,,,,,,,,,,D_ice >= 100 um,100.0
cs-eriswil__20260304_110254,Q,0,ALLBB,2,event_summary,,,%,,,,,,,,,,,D_liq >= 10 um,0.0
