cs_run,exp_id,expname,ref_exp_id,ref_expname,pair_method,time_rel_min,n_cells,ridge_peak_um_p25,ridge_peak_um_p50,ridge_peak_um_p75,ridge_mean_um_p25,ridge_mean_um_p50,ridge_mean_um_p75,total_nf_l_p25,total_nf_l_p50,total_nf_l_p75
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,1.167,3,253.61718858252675,470.2078306835759,470.2078306835759,244.4948286348819,461.3731773562405,461.3731773562405,159.0892789120348,159.0892789120348,166.3705037153293
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,1.333,3,253.61718858252675,470.2078306835759,470.2078306835759,245.02830544058995,461.1295689990829,461.1295689990829,138.08752795668906,138.08752795668906,159.7965746344942
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,1.5,3,253.61718858252675,470.2078306835759,470.2078306835759,245.685619515345,460.8372236723495,460.8372236723495,119.93620209004024,119.93620209004024,161.77380851904405
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,1.667,3,253.61718858252675,470.2078306835759,470.2078306835759,246.6839905109252,460.9622174214155,460.9622174214155,111.21600092756684,111.21600092756684,136.9808202991719
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,1.833,3,253.61718858252675,470.2078306835759,470.2078306835759,247.3310157781365,460.9784360575403,460.9784360575403,114.24986667558642,114.24986667558642,136.80702310845362
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,2.0,3,258.4291780002502,470.2078306835759,470.2078306835759,247.77655329987223,460.8289585545252,460.8289585545252,118.17880733834569,118.17880733834569,141.40392923538954
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,2.167,3,258.4291780002502,470.2078306835759,470.2078306835759,248.21410634284553,460.71585333680554,460.71585333680554,116.7996956945144,116.7996956945144,139.253164734955
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,2.333,3,258.4291780002502,470.2078306835759,470.2078306835759,248.64596260710744,460.5008601494275,460.5008601494275,121.04214703543505,121.04214703543505,140.16329231996048
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,2.5,3,258.4291780002502,470.2078306835759,470.2078306835759,249.1267137103061,460.0742741492377,460.0742741492377,122.69860667449238,122.69860667449238,142.41364221452992
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,2.667,3,258.4291780002502,470.2078306835759,470.2078306835759,249.62249785992782,459.5287941287122,459.5287941287122,118.34801653308851,118.34801653308851,142.24769502755157
