cs_run,exp_id,expname,ref_exp_id,ref_expname,pair_method,station_idx,window_start,window_end,phase_rate,process_label,mean_rate_diff,positive_fraction
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Immersion Freezing (liq),-5970.629925017723,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Melting (liq),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Riming (liq),197.23598673119704,1.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Aggregation (ice),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Contact Freezing (ice),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Deposition (ice),-0.004458750762732259,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Melting (ice),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Riming (ice),-0.0006007148969605389,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Breakup (liq),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Condensation (liq),-31594.050000970776,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Drop Collision (liq),-1.1122787782271644,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Drop Ins Collision (liq),0.0,0.0
cs-eriswil__20260211_194236,2,20260211194619,1,20260211194427,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Homogeneous Freezing (liq),0.0,0.0
