variant,basis,run_id,run_label,time_frame_min,t_lo_min,t_hi_min,t_mid_min,liq_mean_diam_um,liq_std_diam_um,liq_net_tendency_per_min,ice_mean_diam_um,ice_std_diam_um,ice_net_tendency_per_min,obs_match_ids,obs_ice_mean_diam_um,obs_ice_std_diam_um,alpha_ice_mean_diam
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",0.00-5.00,0.0,5.0,2.5,12.2,5.3,0.09,53.5,13.3,0.0,,,,
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",5.00-10.00,5.0,10.0,7.5,12.0,5.4,0.03,363.4,46.8,0.0,,,,1.7438567926294872
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",10.00-20.00,10.0,20.0,15.0,12.6,8.9,-0.04,469.3,23.2,0.0,,,,0.3689520407941473
mass,mass,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",20.00-35.00,20.0,35.0,27.5,11.6,6.9,-0.01,466.6,35.0,-0.0,,,,-0.009519093211547848
