variant,basis,run_id,run_label,time_frame_min,t_lo_min,t_hi_min,t_mid_min,liq_mean_diam_um,liq_std_diam_um,liq_net_tendency_per_min,ice_mean_diam_um,ice_std_diam_um,ice_net_tendency_per_min,obs_match_ids,obs_ice_mean_diam_um,obs_ice_std_diam_um,alpha_ice_mean_diam
number,number,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",0.00-5.00,0.0,5.0,2.5,6.8,3.8,11.5,37.2,15.9,0.04,,,,
number,number,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",5.00-10.00,5.0,10.0,7.5,7.1,3.6,450.69,82.8,14.1,-0.02,,,,0.7282999729432558
number,number,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",10.00-20.00,10.0,20.0,15.0,7.0,3.7,-91.18,450.2,75.9,0.08,,,,2.4428633839548306
number,number,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",20.00-35.00,20.0,35.0,27.5,7.9,3.5,-241.17,337.5,149.1,-0.06,,,,-0.4753496105376039
