station,station_label,phase_key,phase_label,t_lo_min,t_hi_min,reservoir,process,column_net_g_m2,table_id,selection_rule,source_csvs
S2,S2 — Observations,obs_site,Ice growth,5.0,22.0,ice,RIMING,-11.827329594284809,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S2,S2 — Observations,obs_site,Ice growth,5.0,22.0,ice,DEPOSITION,-93.24411413524444,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S2,S2 — Observations,obs_site,Ice growth,5.0,22.0,ice,AGGREGATION,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S2,S2 — Observations,obs_site,Ice growth,5.0,22.0,ice,REFREEZING,-11.81554417132734,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S2,S2 — Observations,obs_site,Ice growth,5.0,22.0,ice,MELTING,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,liquid,CONDENSATION,489.73964285358073,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,liquid,BREAKUP,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,liquid,DROP_COLLISION,-1.2872293601796592e-08,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,liquid,DROP_INS_COLLISION,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,liquid,HOMOGENEOUS_FREEZING,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,liquid,RIMING,0.4319723792189658,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,liquid,MELTING,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,ice,IMMERSION_FREEZING,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,ice,CONTACT_FREEZING,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,ice,RIMING,-0.4319723511307184,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,ice,DEPOSITION,-1.893297289760856,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,ice,AGGREGATION,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,ice,REFREEZING,-0.432847691361435,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
S3,S3 — Precipitation,precip_site,Ice precip.,14.0,28.0,ice,MELTING,0.0,phase_budget_long,keep the promoted long-form cloud phase budget table as-is,output/gfx/csv/01/cloud_phase_budget_summary_20260304110446_ALLBB_long.csv
