time_frame_min,liq_mean_diam_um,liq_std_diam_um,liq_net_tendency_per_min,ice_mean_diam_um,ice_std_diam_um,ice_net_tendency_per_min,alpha_ice_mean_diam,obs_match_ids,obs_ice_mean_diam_um,obs_ice_std_diam_um,selected_run_id,table_id,selection_rule,source_csvs
0.00-0.02,7.0,4.0,0.0,55.6,49.7,0.0,,,,,20260121131632,psd_stats_selected,"pick the featured run from growth_summary.csv when available, otherwise use the latest number-basis run in psd_stats.csv; preserve one row per time window",output/tables/registry/psd_stats.csv;output/tables/registry/growth_summary.csv
0.02-2.00,6.9,3.9,15.26,25.1,9.5,0.21,-0.165836132240808,,,,20260121131632,psd_stats_selected,"pick the featured run from growth_summary.csv when available, otherwise use the latest number-basis run in psd_stats.csv; preserve one row per time window",output/tables/registry/psd_stats.csv;output/tables/registry/growth_summary.csv
2.00-5.00,6.7,3.8,755.34,43.5,15.2,-0.04,0.441871374943231,,,,20260121131632,psd_stats_selected,"pick the featured run from growth_summary.csv when available, otherwise use the latest number-basis run in psd_stats.csv; preserve one row per time window",output/tables/registry/psd_stats.csv;output/tables/registry/growth_summary.csv
5.00-10.00,7.0,3.7,-22.91,174.7,135.2,-0.01,1.8242175769550333,,,,20260121131632,psd_stats_selected,"pick the featured run from growth_summary.csv when available, otherwise use the latest number-basis run in psd_stats.csv; preserve one row per time window",output/tables/registry/psd_stats.csv;output/tables/registry/growth_summary.csv
10.00-35.00,6.6,3.6,-8.14,440.9,88.9,-0.01,0.8426520299952229,,,,20260121131632,psd_stats_selected,"pick the featured run from growth_summary.csv when available, otherwise use the latest number-basis run in psd_stats.csv; preserve one row per time window",output/tables/registry/psd_stats.csv;output/tables/registry/growth_summary.csv
