station,phase_label,time_frame_min,liq_source,liq_source_g_m2,liq_sink,liq_sink_g_m2,ice_source,ice_source_g_m2,ice_sink,ice_sink_g_m2,table_id,selection_rule,source_csvs
S1,Early ice,0.1-12.0,CONDENSATION,52.59853625455266,DROP_COLLISION,-2.914225736987569e-08,,,DEPOSITION,-71.38788460296043,phase_budget_summary,keep the promoted compact cloud phase budget summary as-is,output/tables/phase_budget/cloud_phase_budget_summary_20260304110446_ALLBB.csv
S2,Ice growth,0.1-22.0,RIMING,11.82739300571893,CONDENSATION,-90.3885933281797,,,DEPOSITION,-93.24499302942756,phase_budget_summary,keep the promoted compact cloud phase budget summary as-is,output/tables/phase_budget/cloud_phase_budget_summary_20260304110446_ALLBB.csv
S3,Ice precip.,0.1-28.0,CONDENSATION,943.6066451292857,DROP_COLLISION,-1.1154009213474234e-08,,,DEPOSITION,-1.8940453900921537,phase_budget_summary,keep the promoted compact cloud phase budget summary as-is,output/tables/phase_budget/cloud_phase_budget_summary_20260304110446_ALLBB.csv
