variant,basis,run_id,run_label,time_frame_min,t_lo_min,t_hi_min,t_mid_min,liq_mean_diam_um,liq_std_diam_um,liq_net_tendency_per_min,ice_mean_diam_um,ice_std_diam_um,ice_net_tendency_per_min,obs_match_ids,obs_ice_mean_diam_um,obs_ice_std_diam_um,alpha_ice_mean_diam,source_stats_csv,cs_run,exp_id,expname
number,number,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",10.00-20.00,10.0,20.0,15.0,7.0,3.7,-91.18,450.2,75.9,0.08,,,,2.4428633839548306,output/tables/psd/figure13_psd_stats_number_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
number,number,20260121131550,"400m, inp 1e6, ccn 400 (spherical)",20.00-35.00,20.0,35.0,27.5,7.9,3.5,-241.17,337.5,149.1,-0.06,,,,-0.4753496105376039,output/tables/psd/figure13_psd_stats_number_20260121131550.csv,cs-eriswil__20260121_131528,1,20260121131550
number,number,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",0.00-5.00,0.0,5.0,2.5,6.8,3.8,459.78,38.0,16.2,0.06,,,,,output/tables/psd/figure13_psd_stats_number_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
number,number,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",5.00-10.00,5.0,10.0,7.5,7.0,3.7,-22.91,174.7,135.2,-0.01,,,,1.3885554286517483,output/tables/psd/figure13_psd_stats_number_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
number,number,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",10.00-20.00,10.0,20.0,15.0,6.9,3.6,-57.65,450.0,78.4,0.19,,,,1.3650453931876394,output/tables/psd/figure13_psd_stats_number_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
number,number,20260121131632,"400m, inp 1e6, ccn 400 (columnar 2)",20.00-35.00,20.0,35.0,27.5,6.4,3.5,24.88,425.4,104.0,-0.14,,,,-0.0927476642479954,output/tables/psd/figure13_psd_stats_number_20260121131632.csv,cs-eriswil__20260121_131528,2,20260121131632
number,number,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",0.00-5.00,0.0,5.0,2.5,6.8,3.8,11.71,37.2,15.9,0.04,,,,,output/tables/psd/figure13_psd_stats_number_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
number,number,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",5.00-10.00,5.0,10.0,7.5,7.1,3.6,452.43,82.8,14.1,-0.02,,,,0.7282999729432558,output/tables/psd/figure13_psd_stats_number_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
number,number,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",10.00-20.00,10.0,20.0,15.0,6.9,3.7,-94.06,449.7,76.7,0.07,,,,2.441260211169691,output/tables/psd/figure13_psd_stats_number_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
number,number,20260127211431,"400m, inp 1e6, ccn 400 (analytic)",20.00-35.00,20.0,35.0,27.5,7.9,3.6,-239.58,328.1,149.9,-0.06,,,,-0.5201181846586521,output/tables/psd/figure13_psd_stats_number_20260127211431.csv,cs-eriswil__20260127_211338,1,20260127211431
number,number,20260127211551,"400m, inp 1e6, ccn 400 (planar)",0.00-5.00,0.0,5.0,2.5,6.8,3.8,10.79,38.8,17.4,0.05,,,,,output/tables/psd/figure13_psd_stats_number_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
number,number,20260127211551,"400m, inp 1e6, ccn 400 (planar)",5.00-10.00,5.0,10.0,7.5,6.9,3.7,891.11,90.2,17.4,-0.02,,,,0.7678861679784145,output/tables/psd/figure13_psd_stats_number_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
number,number,20260127211551,"400m, inp 1e6, ccn 400 (planar)",10.00-20.00,10.0,20.0,15.0,7.3,3.8,-672.76,179.2,105.8,-0.01,,,,0.9903712988022224,output/tables/psd/figure13_psd_stats_number_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
number,number,20260127211551,"400m, inp 1e6, ccn 400 (planar)",20.00-35.00,20.0,35.0,27.5,,,0.0,,,0.0,,,,,output/tables/psd/figure13_psd_stats_number_20260127211551.csv,cs-eriswil__20260127_211338,3,20260127211551
