cs_run,exp_id,expname,ref_exp_id,ref_expname,pair_method,data_source,path_kinds,anchor_threshold_l,n_cells,n_times,alpha_peak_median,alpha_peak_p25,alpha_peak_p75,alpha_mean_median,alpha_mean_p25,alpha_mean_p75,ridge_peak_start_um,ridge_peak_end_um,ridge_peak_max_um,ridge_mean_start_um,ridge_mean_end_um,ridge_mean_max_um,ridge_peak_late_um,time_end_min
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,lv1_paths,"qi,qs",1.0,3,208,8.792448744890355e-16,2.5076126014866806e-17,0.25770661377095627,0.013503219036333383,-0.007551923695812429,0.3160393139661722,,186.60210126769834,470.2078306835759,,173.5245215548381,468.0359437447833,186.60210126769834,29.5
cs-eriswil__20260121_131528,2,20260121131632,0,20260121131528,single_reference,lv1_paths,"qi,qs",1.0,5,252,0.014681511702300155,-0.49603650820805445,0.12409193948584761,-0.05186353732466991,-0.42518090524873253,0.18018765149443008,,186.60210126769834,470.2078306835759,,158.28715355564577,434.07058912783435,186.60210126769834,36.833
cs-eriswil__20260127_211338,1,20260127211431,0,20260127211338,same_shape,lv1_paths,"qi,qs",1.0,4,208,7.087639761602742e-17,-7.60392215057561e-16,0.12885330688547858,0.018306148439046373,0.007037121929778126,0.1685827285225619,,186.60210126769834,470.2078306835759,,173.53466752273917,468.00846820165,186.60210126769834,29.5
cs-eriswil__20260127_211338,3,20260127211551,2,20260127211516,same_shape,lv1_paths,"qi,qs",1.0,3,108,-6.526584785023904e-16,-6.526584785023904e-16,0.27566486089562564,0.05349180483482853,0.05349180483482853,0.3554059313154666,,148.10618592591032,373.2042025353965,,143.89894363914803,379.69502310575234,148.10618592591032,12.833
cs-eriswil__20260313_111441,3,20260313111448,2,20260313111446,same_shape,lv1_paths,nf,1.0,3,89,0.5185457005666737,0.21902632997127058,0.6281404461331616,0.6241819535820607,0.2169011257189125,0.6741960140855359,,373.2042025353965,373.2042025353965,,322.6009322596207,345.72252815693105,373.2042025353965,13.5
